,TOTAL_POP,NH_WHITE,NH_BLACK,NH_NATIVE,NH_ASIAN,NH_HAWAIIAN,NH_OTHER_RACE,NH_TWO_OR_MORE,NH_HISPANIC_LATINO,US_BORN,NATURALIZED,NON_CITIZEN,ZCTA,TOTAL_HOUSING,OWNER_OCCUPIED,RENTER_OCCUPIED,AGE_55_59,AGE_60_64,AGE_65_74,AGE_75_84,AGE_85+,MALE,FEMALE,ED_POP_25+,LESS_THAN_9TH,LESS_THAN_HS,HS_OR_GED,SOME_COLLEGE,ASSOCIATES,BACHELORS,GRAD_OR_PROFESSIONAL,HEALTH_COVERAGE_POP,INSURED,UNINSURED,MEDIAN_INCOME,LABOR_FORCE_POP_16+,EMPLOYED,UNEMPLOYED,BUSINESS,SERVICE,SALES_OFFICE,CONSTRUCTION_MAINTENANCE,PRODUCTION_TRANSPORTATION,LANGUAGE_POP_5+,ENGLISH_ONLY,OTHER_LANGUAGE,OTHER_LANGUAGE_POOR_ENGLISH,MEDIAN_INCOME_2,2_ppl_fam,3_to_4_ppl_fam,5_to_6_ppl_fam,GT_7_ppl_fam,avg_ppl_per_household
117,23262,9676,4387,0,1449,0,8,391,7351,17293,2649,2597,10310,8346,5113,3233,1610,1653,1865,964,280,11065,12197,15599,1193,1340,4093,2282,1369,2995,2327,23247,21283,1964,72093,10468,9976,492,4032,2357,1855,854,878,1015,14772,6940,2530,72093,2304,2925,771,156,2.77
118,79606,941,21817,49,1043,0,138,567,55051,42667,14288,18517,10453,27266,972,26294,4292,3193,4508,1753,455,36246,43360,47498,8271,7994,13265,8325,3607,4635,1401,79523,71976,7547,25275,34821,30652,4169,5269,12065,6899,1995,4424,1632,21177,51604,25909,25275,6016,8888,2862,418,2.86
119,38203,888,10753,137,130,0,176,163,25956,23680,3902,6526,10454,13167,687,12480,1809,1389,1568,1289,355,18469,19734,21829,4903,4250,6362,3428,1168,1290,428,38158,32724,5434,21149,15313,13416,1897,2131,5286,3060,730,2209,1375,12087,23056,10271,21149,2839,3330,1612,370,2.83
120,83960,6995,14617,76,2333,31,285,1060,58563,45037,13269,20855,10458,27282,1060,26222,3889,3750,4148,1745,693,40415,43545,48277,8047,7379,14237,8534,3176,4879,2025,83919,74041,9878,33932,39769,34515,5254,6187,12994,7607,2660,5067,2079,21119,55680,26066,33932,6425,8569,2722,720,2.96
121,73870,7907,38318,250,4757,0,460,760,21418,39859,19221,10529,10469,22450,11439,11011,4823,4703,6335,4087,1794,34385,39485,51384,5543,4988,14338,9065,4610,7623,5217,71678,66196,5482,63652,37106,33851,3255,10680,9556,7065,2637,3913,2225,41812,28212,9407,63652,5880,7846,2875,429,3.18
122,32223,18810,3047,70,2245,14,104,348,7585,20803,7069,3191,10704,12283,6830,5453,2360,1600,3050,1835,872,15793,16430,23440,1562,1691,6310,4576,1914,4671,2716,32223,30277,1946,73165,17676,16878,798,5840,3402,3771,2168,1697,955,18372,12259,3685,73165,3327,3464,894,120,2.62
123,7023,5056,294,0,826,0,0,267,580,5165,698,950,10007,2731,968,1763,305,258,358,61,15,4118,2905,5323,162,230,376,280,17,2269,1989,6285,6244,41,246813,3923,3813,110,2797,146,802,60,8,858,4891,1593,349,246813,721,538,206,0,2.25
124,43703,24786,2331,68,7554,60,427,1149,7328,28680,6750,7154,10019,25428,5064,20364,2868,2440,4310,1726,758,22413,21290,37458,943,783,3513,3236,1852,13819,13312,43641,41690,1951,98833,30567,28937,1630,20448,2332,5289,259,609,1692,27124,15334,4360,98833,5604,2013,247,0,1.7
125,46215,36643,270,156,4333,40,49,1060,3664,35611,4849,4802,10021,24996,11252,13744,3076,2131,5205,3712,1333,21010,25205,37453,166,193,2216,3104,1540,14573,15661,45860,43958,1902,118289,26905,26342,563,18660,795,6178,344,365,2180,33691,9655,1815,118289,5415,4248,365,125,1.83
126,22800,10249,1558,49,7069,0,64,593,3218,14329,4418,3271,10038,10210,2732,7478,1198,1387,1910,1291,664,10696,12104,17155,2051,1178,2192,1389,436,6032,3877,22787,21759,1028,86058,13016,12277,739,8030,1440,2215,197,395,1040,12348,9553,4666,86058,2804,1552,246,69,2.11
127,27726,1872,15274,81,452,11,17,641,9378,19828,3721,3365,10039,11210,1515,9695,1874,1422,1397,771,430,11816,15910,18072,1558,1886,4619,2925,1594,3212,2278,27726,25260,2466,39653,13877,12001,1876,4501,3143,2536,660,1161,1490,14779,10744,4036,39653,2630,2876,501,36,2.44
128,18204,5681,3502,10,1269,1,75,187,7479,13135,1818,2699,10302,6149,3616,2533,1219,895,1166,590,118,9313,8891,12162,683,1387,4010,2456,671,2078,877,18146,16178,1968,64103,8114,7773,341,2321,1684,1706,905,1157,918,10112,7006,2119,64103,1245,2168,882,60,2.94
129,9384,6612,164,0,1474,0,57,251,826,6218,1372,1539,10280,4560,1233,3327,530,375,624,194,40,4477,4907,7160,0,94,87,416,233,3151,3179,9384,9027,357,169844,6315,6099,216,4725,249,1006,97,22,707,5618,3055,529,169844,1046,1009,130,16,2.06
130,25947,4581,8543,49,2099,0,59,513,10103,17577,3781,3315,10303,8156,4954,3202,1696,1337,1596,632,206,12810,13137,16064,1342,1950,4421,3226,1073,2831,1221,25914,23817,2097,62558,11040,10564,476,3458,3070,1918,891,1227,1366,13388,10752,3386,62558,1996,2912,1438,225,3.16
131,20991,2093,11961,40,1199,0,320,256,5122,13489,4397,2274,11692,6815,2338,4477,1419,1068,1588,642,336,9755,11236,13243,1247,1977,3437,2412,1069,2034,1067,20258,18928,1330,44024,9014,7847,1167,2580,2209,1552,556,950,1175,13472,6089,2347,44024,1996,2076,736,159,2.95
132,8311,2175,1812,0,132,0,36,31,4125,5320,1216,1533,11096,2581,1122,1459,454,298,603,309,162,4130,4181,5349,962,539,1612,970,378,520,368,8311,7371,940,56917,4207,3835,372,768,1150,750,558,609,572,4018,3659,2181,56917,607,983,337,84,3.22
133,30800,13229,2659,24,4650,0,239,527,9472,17622,6679,5659,11102,13072,1741,11331,1487,1339,2121,966,544,15375,15425,23543,1887,1586,4721,2557,1466,7540,3786,30525,27460,3065,64067,18666,17604,1062,8498,3834,3279,813,1180,1085,13407,15732,7007,64067,3249,2324,680,120,2.33
134,26119,11361,321,23,5710,0,78,416,8210,12985,4879,7436,11104,11619,2298,9321,1298,1510,1833,1219,306,12954,13165,20640,1476,1413,4381,2178,1727,6074,3391,26119,22564,3555,61269,15925,15046,879,6803,3021,2887,800,1535,1061,8961,15714,8320,61269,2442,2371,614,26,2.25
135,91972,3695,54049,129,1295,45,1014,1140,30605,57908,17445,12549,11207,33240,8440,24800,5969,4927,6015,3189,1304,41188,50784,60555,5856,7343,22393,10753,4852,6628,2730,91462,84404,7058,37243,42447,38369,4078,9222,12838,8764,3052,4493,2262,56985,28586,11106,37243,7241,9032,2970,856,2.7
136,66295,13651,42570,13,1252,0,369,1380,7060,41064,14019,9120,11213,25027,3903,21124,4249,3248,4141,2292,1170,30437,35858,43266,3061,4728,12237,8121,2968,7764,4387,65957,59855,6102,41710,32938,30066,2872,10190,8632,7055,1742,2447,1747,45851,15783,5135,41710,6050,5931,1944,650,2.61
137,56308,14656,30784,18,2898,0,242,1631,6079,40128,8611,6128,11216,24079,5328,18751,3099,2550,3422,2197,908,26400,29908,42625,2398,3089,9139,5513,2544,12331,7611,56181,51589,4592,61121,34031,31847,2184,16581,6026,5668,1195,2377,1543,42842,10587,3229,61121,5717,4036,1095,190,2.31
138,58882,14516,35980,49,1521,27,579,1297,4913,35208,14298,7994,11225,24105,3777,20328,3329,3434,4367,2252,827,26817,32065,42921,1981,3610,9871,8069,2828,9697,6865,58842,54009,4833,55862,34035,31374,2661,14369,7347,6191,1073,2394,1896,40940,14939,4942,55862,5672,5381,1118,429,2.44
139,27602,6141,1372,91,5268,0,126,630,13974,15340,4529,6369,11232,8812,2222,6590,1225,1083,1364,663,185,14304,13298,19434,3222,2796,4663,2059,796,3570,2328,25643,21935,3708,56661,14388,13447,941,4788,3446,2524,994,1695,1434,8698,17148,9379,56661,1956,2843,852,162,2.9
140,54540,23185,19319,39,3319,10,356,2365,5947,41460,7140,4256,11238,24547,7328,17219,2824,2861,4005,1691,948,25481,29059,42970,1655,2382,5831,4385,2080,14566,12071,54083,51007,3076,85407,34420,32374,2046,21048,4534,5090,606,1096,1725,40164,11082,2640,85407,5562,4815,698,53,2.17
141,37190,12476,184,121,17473,0,145,530,6261,18152,10766,7784,11358,13042,7207,5835,2795,2267,4008,2369,757,18368,18822,28220,2479,2355,7292,3992,3331,5226,3545,37184,32708,4476,66129,18728,17968,760,6970,3885,4060,1322,1731,1158,11473,23761,15655,66129,3964,4193,1261,142,2.85
142,44983,11388,3347,104,20070,21,380,807,8866,24016,13422,6792,11365,15571,7373,8198,3555,3137,3530,2121,1017,21359,23624,32031,2237,1928,8033,4972,2976,7219,4666,44983,41119,3864,66483,23272,21162,2110,7482,4355,5797,1566,1962,1524,16695,24988,12510,66483,4191,5418,1557,198,2.88
143,43714,10036,13402,25,6383,12,736,1695,11425,26795,12164,3858,11580,13302,11197,2105,3420,2915,3810,1680,955,20745,22969,30692,1866,1481,7285,6126,2717,6634,4583,43656,40878,2778,109470,24719,23045,1674,9411,4063,5736,1633,2202,1167,25210,16243,6683,109470,3393,4842,2332,249,3.28
144,45263,6867,20444,67,6347,16,791,1697,9034,24854,13055,6577,11003,12256,9821,2435,3723,2606,3691,1678,842,22279,22984,31394,2156,1595,8823,6150,3296,6346,3028,45263,42911,2352,97338,24551,23237,1314,7894,5289,5567,2012,2475,1542,24254,18966,6816,97338,2689,4393,2378,707,3.69
145,18185,12505,397,49,3748,0,83,241,1162,12548,3831,1517,11021,7949,5563,2386,1147,1234,2115,1363,868,8355,9830,13589,455,318,1773,1546,633,4095,4769,17981,17312,669,99170,9298,8947,351,5617,878,1990,225,237,449,11022,6182,2450,99170,1967,2153,490,33,2.26
146,36140,20953,684,15,5332,45,55,852,8204,20012,8568,6723,11103,15665,2536,13129,2074,1422,2261,1423,401,17586,18554,28821,2169,1239,5928,2816,1761,9684,5224,36140,32172,3968,71437,24014,22483,1531,11061,4382,4323,1104,1613,1278,15995,18533,7709,71437,3814,3054,475,46,2.3
147,67809,43770,1833,71,9044,54,126,1470,11441,44027,13835,7728,11209,29297,11028,18269,4376,4602,6271,3512,1709,32504,35305,50759,2949,3042,9568,6795,3089,14420,10896,67517,63054,4463,72314,36567,34474,2093,17980,5278,7342,1601,2273,1706,34806,28696,11130,72314,7307,6537,2112,304,2.3
148,92946,39676,1143,49,34742,11,186,1866,15273,38920,31057,20759,11214,31933,10629,21304,6271,5238,8110,4855,2386,45577,47369,66593,9862,6140,17360,7395,4763,13738,7335,92451,82189,10262,54041,45876,43040,2836,13790,10661,8713,4852,5024,2055,24057,62423,42196,54041,7846,10595,3621,631,2.88
149,95643,13452,1557,159,39441,0,256,938,39840,38387,20429,32580,11220,28083,7302,20781,5121,4673,5798,3541,1194,48315,47328,65094,15587,14948,13576,5021,2376,9040,4546,95438,80075,15363,47079,47520,44540,2980,9450,15650,8732,4228,6480,2069,14375,73779,53062,47079,6006,9580,4209,1117,3.39
150,89075,58782,6138,387,12547,0,330,1772,9119,50227,22642,14426,11230,30572,9090,21482,4851,4708,7213,4074,2453,42716,46359,56090,5202,4499,12431,6691,4291,12998,9978,88840,81187,7653,49541,39035,36628,2407,15200,7526,7844,2099,3959,2065,35875,44893,26032,49541,7384,7174,3776,1718,2.89
151,80853,6043,2306,455,58718,70,332,986,11943,22337,26090,31085,11355,27606,8316,19290,5611,5342,7571,4641,2032,38656,42197,61696,9458,9115,18960,6235,5875,7544,4509,80440,63275,17165,39207,38285,36763,1522,8756,12133,7749,3038,5087,2290,10958,65290,52994,39207,7850,9023,2452,429,2.91
152,86421,18107,1624,205,31843,0,214,1528,32900,34076,19402,31177,11377,31400,9688,21712,5785,4367,7570,4280,1255,44369,42052,65644,7898,6912,21150,6189,4679,13280,5536,86174,74780,11394,57010,47204,45313,1891,12843,11837,8553,3532,8548,2504,18985,63200,36940,57010,7237,9029,2635,435,2.74
153,37279,20160,531,49,3832,0,122,578,12007,21966,8308,5962,11378,12604,6412,6192,2596,2230,2543,1303,854,18168,19111,25827,1879,1634,8680,3980,2339,4923,2392,37097,33749,3348,73333,19016,17932,1084,5755,3835,3996,2463,1883,1326,15275,19351,8059,73333,2755,4519,1274,128,2.94
154,20759,207,18790,18,58,0,167,150,1369,12460,5974,2074,11411,6270,5390,880,1834,1242,2181,1319,479,9582,11177,15210,575,661,4074,3509,1581,2951,1859,20746,19347,1399,93882,11322,10587,735,3614,2805,2333,635,1200,740,16069,3752,1107,93882,1698,2181,910,126,3.31
155,27125,3448,1294,1,8979,5,427,728,12243,12443,8335,5457,11416,7217,3124,4093,1870,1452,1654,833,293,13398,13727,17904,2193,1902,5975,2727,1278,2858,971,27105,24642,2463,67461,13684,12683,1001,3104,3459,2785,1428,1907,1087,9988,15297,6278,67461,1365,3068,1344,258,3.75
156,31400,2807,12083,200,8950,0,1992,913,4455,13920,11554,5240,11423,9787,5672,4115,2478,2296,2835,1256,677,15291,16109,22788,2183,1518,6616,3906,1966,4547,2052,31015,28252,2763,70266,17546,16149,1397,4700,4276,3933,1317,1923,1334,18151,11556,5063,70266,2302,3436,1126,331,3.16
157,36806,12523,770,315,19103,0,8,561,3526,19544,12007,4561,11364,13554,9993,3561,3028,2781,4016,1791,890,18053,18753,27326,1561,1327,6354,3670,2560,7060,4794,36795,33852,2943,76988,19133,18299,834,7945,2879,4760,1311,1404,1297,14034,20792,11198,76988,3918,4462,1129,111,2.71
158,42443,632,38209,69,480,51,214,708,2080,25633,11446,4719,11413,12356,8768,3588,2648,2670,3827,2302,789,19773,22670,29425,1411,1869,8580,6826,2970,4953,2816,42218,39746,2472,86324,22344,20836,1508,6700,5570,4694,1576,2296,1459,34813,5306,1782,86324,3156,4457,1866,311,3.41
159,27403,434,20276,194,1122,59,1456,457,3405,15084,8114,3810,11429,7340,5280,2060,1876,1910,2307,1221,435,12851,14552,19164,1201,1732,5194,4009,2002,3320,1706,27313,25597,1716,83240,15895,13772,2123,4378,3527,3143,993,1731,1140,17491,8569,3730,83240,1530,3018,973,471,3.72
160,65791,1024,55870,0,1615,0,1287,1040,4955,44301,14873,5697,11434,21462,10525,10937,4442,3492,5448,2918,1612,29219,36572,44512,2012,3993,14401,10673,3736,6505,3192,65336,61325,4011,62207,33013,30780,2233,9009,8651,7226,1829,4065,2217,55044,6405,2694,62207,4873,6577,2168,642,2.96
161,20077,308,11991,87,2084,0,1805,833,2969,11792,4912,2949,11436,5581,4065,1516,1418,1133,1284,526,303,9918,10159,13735,1019,1626,4530,2710,1060,1839,951,20077,18314,1763,75242,10994,9986,1008,2608,2760,2201,1236,1181,834,15088,3807,1572,75242,1341,2237,704,199,3.55
162,41877,17971,687,30,16049,98,697,723,5622,25941,11253,4046,11040,12876,11500,1376,2906,2896,4339,2291,1448,19603,22274,29693,1089,1327,6302,3890,1909,8562,6614,41849,39937,1912,124378,21420,20759,661,10556,2497,5139,906,1661,884,20475,19085,6523,124378,3157,5604,1689,363,3.25
163,37382,22775,791,208,4548,0,59,789,8212,22106,8848,5106,11105,15363,4255,11108,2359,1687,2378,1641,811,18814,18568,29352,2190,1642,5881,3330,2057,9134,5118,37335,34103,3232,73959,23511,22420,1091,11060,3392,4907,1318,1743,1259,16105,19444,6833,73959,3783,3266,844,64,2.43
164,38363,15779,2296,63,7951,8,351,1071,10844,21406,8671,6882,11106,16992,3028,13964,1846,1709,2870,1454,886,18799,19564,30072,2417,1800,5546,3267,2033,10125,4884,38355,35163,3192,63703,23905,22211,1694,10851,4429,4079,1160,1692,1299,16126,20592,9126,63703,4296,2741,881,117,2.24
165,83615,49672,4267,34,18445,76,105,1977,9039,42446,27089,12278,11229,30946,14601,16345,6145,6203,8488,4346,2092,40272,43343,59080,5487,3485,16107,7356,4422,13376,8847,83496,77857,5639,60873,40343,37858,2485,15245,8136,8510,2371,3596,1823,33659,44650,25260,60873,8673,9125,3082,701,2.69
166,95666,35900,41699,118,6351,11,304,1260,10023,57800,27212,8793,11234,31835,21649,10186,7030,6739,9380,4610,2113,45456,50210,66660,3217,3534,20077,11054,5584,13631,9563,95615,89770,5845,81399,47935,44497,3438,18376,9358,9690,2969,4104,1928,59827,30162,12321,81399,8803,10519,4190,790,3.0
167,39902,23849,187,41,8770,14,128,673,6240,25760,9589,3803,11357,14515,11239,3276,2749,3048,4520,2805,1316,18957,20945,29489,2282,1908,7199,4292,2346,6936,4526,39690,37444,2246,83951,19458,18392,1066,7924,2563,5014,1497,1394,1420,18776,18717,9085,83951,4393,5189,1039,69,2.73
168,41824,19408,3075,69,10655,0,41,1110,7466,23751,10633,6069,11367,14580,6802,7778,2679,3209,4033,1810,834,20114,21710,27838,2615,1677,7420,3719,2160,5979,4268,41763,39142,2621,57933,19720,18523,1197,7863,3721,4210,1081,1648,1474,16795,21661,10847,57933,4135,4680,1285,292,2.8
169,34118,2747,5063,51,4196,0,58,302,21701,14665,10253,8602,11369,10294,5609,4685,2266,1711,2824,1675,748,16785,17333,23737,3684,2051,9574,2660,1694,2720,1354,33674,28927,4747,54121,16539,15418,1121,3496,4538,3335,1767,2282,1320,7954,23719,13163,54121,2192,3280,1330,345,3.22
170,19372,9010,967,66,3671,19,233,573,4833,10445,5218,2880,11415,8379,2999,5380,1200,1149,1860,786,441,9253,10119,14177,510,646,2676,2350,1346,3914,2735,19372,18215,1157,68294,10761,10344,417,4996,1560,2184,493,1111,1061,7725,10419,3936,68294,2016,1570,551,126,2.31
171,38517,6312,2460,136,9217,0,1042,1747,17603,17907,10578,8656,11418,10938,4761,6177,2290,2406,2548,1203,606,19354,19163,25587,3238,2553,7262,3791,1852,4536,2355,38327,32919,5408,66570,19502,18451,1051,5185,4672,3570,2123,2901,1281,13847,21875,10331,66570,2536,4026,1496,378,3.48
172,41002,6898,1210,68,7932,0,203,649,24042,19671,11581,8291,11421,11638,6460,5178,3178,2155,3308,1307,564,20497,20505,28083,4009,2566,8051,4328,2327,4911,1891,40988,36216,4772,72066,21518,20033,1485,5053,5561,4631,1927,2861,1190,11719,26703,12119,72066,2666,4492,1723,348,3.52
173,62053,8027,9134,257,25619,22,1660,2172,15162,25827,21726,13449,11432,18547,6791,11756,4160,3728,4698,2862,1117,29294,32759,40975,4904,3138,9527,5425,3176,9499,5306,60955,54855,6100,55906,30876,28606,2270,9277,6496,6715,2023,4095,2017,19187,38710,17990,55906,4083,5928,2537,383,3.1
174,73488,36724,1825,82,20530,0,96,2661,11570,39022,22633,10215,11375,32857,16697,16160,5313,4896,7718,4757,2323,33695,39793,56889,2029,1564,8553,6539,3396,18061,16747,73053,69982,3071,80542,39288,37540,1748,22643,4646,7651,1055,1545,1548,29461,38858,14919,80542,9274,7600,1272,140,2.22
175,48489,2367,11167,405,15013,76,5192,2609,11660,21723,17572,7386,11420,13159,8799,4360,4199,3298,3192,1891,608,23765,24724,34051,4426,4658,10511,5652,2341,4900,1563,48458,44260,4198,67932,25633,23670,1963,5976,5698,6136,2496,3364,1643,31649,14407,5228,67932,2966,5464,2182,537,3.68
176,59296,6737,13287,55,14393,7,4457,1932,18428,26274,17757,14064,11435,18874,6868,12006,3768,3398,4197,2054,810,29447,29849,42178,5486,4253,10184,7244,3340,8073,3598,58947,51767,7180,64086,33085,29557,3528,8627,7364,6962,2868,3736,1354,24831,30541,16514,64086,4783,6033,1982,544,3.08
177,8181,7098,150,32,294,0,21,2,584,6764,944,244,11559,2694,2281,413,395,423,994,502,241,3562,4619,5129,129,121,534,815,229,1519,1782,8167,7982,185,108750,3656,3608,48,1973,286,1052,124,173,380,5949,1934,345,108750,832,621,337,176,3.03
178,21275,10166,4485,1,3244,10,334,486,2549,14255,5118,1421,11581,6854,5674,1180,1687,1220,1679,999,583,10203,11072,14461,469,577,2930,2236,1297,3938,3014,21275,20268,1007,108800,11285,10719,566,4907,1556,2820,783,653,581,12833,7160,2795,108800,1994,2184,1066,187,3.1
179,67094,16075,29701,0,2320,90,279,941,17688,44088,12443,7997,11691,20594,4964,15630,4097,3480,4401,2786,1129,30803,36291,40221,4049,5956,9875,7073,2884,6269,4115,64911,59727,5184,46147,28439,25755,2684,8601,7948,4780,1729,2697,2396,39414,20803,8583,46147,4518,5947,2670,998,3.12
180,112425,4409,9291,209,12613,0,398,637,84868,42626,24292,43315,11368,28502,6175,22327,5042,4715,5709,2767,1243,58465,53960,71881,19575,7184,23062,8697,4436,6742,2185,112033,85344,26689,50797,57123,54370,2753,6327,20741,8943,9579,8780,2843,13055,89239,55588,50797,5967,10576,4432,1480,3.92
181,106717,49227,1710,36,7101,0,314,1083,47246,58599,23118,21077,11385,35126,11272,23854,6804,5900,5990,3543,1571,53086,53631,73483,7339,5190,23446,12677,5254,12808,6769,106626,93498,13128,72261,57798,55079,2719,15850,14593,11269,6411,6956,2150,41736,58026,24959,72261,8941,12169,3290,488,3.03
182,37458,286,33065,265,867,23,344,699,1909,23465,9445,3935,11412,11039,8206,2833,3197,2263,3171,1682,653,17167,20291,25970,1493,1594,8381,5977,2341,3772,2412,37367,34567,2800,78517,20694,19017,1677,5784,5622,4375,1216,2020,1112,30651,4618,1798,78517,2679,4174,1359,382,3.39
183,29219,19824,518,0,1475,0,266,623,6513,22707,4851,1028,11414,10680,7453,3227,2155,2131,3138,2045,1237,13929,15290,21607,1248,1745,6752,3669,2159,3828,2206,29155,28068,1087,71648,13987,13174,813,4784,2078,3719,1066,1527,1414,18171,9435,3067,71648,3356,3569,720,131,2.73
184,198,7,133,0,0,0,0,0,58,171,7,7,11430,0,0,0,12,18,12,0,0,188,10,182,7,49,76,32,6,5,7,198,173,25,-666666666,140,77,63,0,32,13,18,14,154,133,61,14,-666666666,0,0,0,0,-666666666.0
185,21354,15589,1283,143,742,0,208,206,3183,17952,2204,932,11694,8468,4505,3963,2181,1622,2470,1123,775,10932,10422,16069,641,1020,3785,2610,1033,3843,3137,20411,19614,797,80976,9988,9447,541,4741,1382,1990,711,623,816,15825,4140,1312,80976,2520,1786,519,120,2.35
186,3540,3243,21,0,20,0,27,0,229,3412,98,1,11697,1365,1322,43,259,293,453,296,150,1699,1841,2501,11,47,466,525,182,704,566,3540,3519,21,103580,1586,1510,76,693,255,252,177,133,403,3250,66,11,103580,411,409,106,0,2.59
187,27867,17260,1426,53,5171,0,53,356,3548,20739,4928,1767,11001,9144,7394,1750,2359,1947,2636,1304,923,13692,14175,19745,927,907,4277,3014,1628,5147,3845,27853,27001,852,108438,14610,13957,653,6895,2038,3130,855,1039,804,18826,7697,3344,108438,2483,3404,1131,203,3.04
188,76978,41872,851,151,24376,13,223,1096,8396,40409,20213,14482,11204,23601,8748,14853,4518,4391,5601,3022,1854,38466,38512,49510,7968,5316,14056,5258,3457,9241,4214,76921,70589,6332,49785,34236,31825,2411,10146,7577,7675,2736,3691,1798,17040,53339,29324,49785,5717,7757,3136,1550,3.26
189,74508,39092,5637,85,13789,0,413,2403,13089,46128,15112,10976,11218,24866,9106,15760,3745,3643,5394,2387,1019,37538,36970,48065,4170,3795,9562,6234,2647,11574,10083,74293,68549,5744,69415,36185,33968,2217,16458,6099,6045,2144,3222,1997,30065,37043,17933,69415,5390,7017,2389,1427,2.97
190,81789,42631,2861,140,19745,134,248,2333,13697,41038,24991,13646,11223,27958,9964,17994,5258,5052,6690,4098,2104,40113,41676,55076,6563,5631,15062,6550,3808,10981,6481,81746,74925,6821,50108,37790,34827,2963,11843,7599,8339,2755,4291,1994,27204,47164,29722,50108,6969,8732,3802,642,2.92
191,46707,23843,9636,68,2753,4,0,887,9516,24086,15947,4843,11224,18725,5203,13522,2874,3173,5862,4232,1976,20929,25778,33875,3563,3096,8097,3935,3053,6942,5189,45933,43055,2878,33131,18642,16799,1843,5291,4296,3990,1223,1999,1459,17700,26315,17266,33131,5765,4889,1198,153,2.43
192,93967,6148,1646,435,45348,11,409,1074,38896,29571,31672,31313,11373,30285,8914,21371,5906,5892,7349,3984,1404,47038,46929,67864,11803,5035,22032,7305,3788,12905,4996,93667,78046,15621,51183,50907,48550,2357,11306,16853,9487,4247,6657,2205,12284,76065,46290,51183,6877,10089,3243,565,3.09
193,12919,6065,2075,0,521,0,227,221,3810,9060,2313,971,11693,4845,2456,2389,914,896,1027,447,115,6308,6611,8924,542,939,2741,1665,684,1401,952,12871,12252,619,59431,6654,6308,346,1999,1841,1079,852,537,1039,7230,4690,2062,59431,1435,1137,422,42,2.61
