,TOTAL_POP,NH_WHITE,NH_BLACK,NH_NATIVE,NH_ASIAN,NH_HAWAIIAN,NH_OTHER_RACE,NH_TWO_OR_MORE,NH_HISPANIC_LATINO,US_BORN,NATURALIZED,NON_CITIZEN,ZCTA,TOTAL_HOUSING,OWNER_OCCUPIED,RENTER_OCCUPIED,AGE_55_59,AGE_60_64,AGE_65_74,AGE_75_84,AGE_85+,MALE,FEMALE,ED_POP_25+,LESS_THAN_9TH,LESS_THAN_HS,HS_OR_GED,SOME_COLLEGE,ASSOCIATES,BACHELORS,GRAD_OR_PROFESSIONAL,HEALTH_COVERAGE_POP,INSURED,UNINSURED,MEDIAN_INCOME,LABOR_FORCE_POP_16+,EMPLOYED,UNEMPLOYED,BUSINESS,SERVICE,SALES_OFFICE,CONSTRUCTION_MAINTENANCE,PRODUCTION_TRANSPORTATION,LANGUAGE_POP_5+,ENGLISH_ONLY,OTHER_LANGUAGE,OTHER_LANGUAGE_POOR_ENGLISH,MEDIAN_INCOME_2,2_ppl_fam,3_to_4_ppl_fam,5_to_6_ppl_fam,GT_7_ppl_fam,avg_ppl_per_household
61,47793,38688,392,10,4506,0,0,664,3533,37114,4504,5096,10028,25318,8723,16595,2837,2609,4807,2814,1252,20516,27277,39507,471,266,1879,2548,1477,16512,16354,47778,46316,1462,125140,31629,30805,824,22651,1888,6015,34,217,1966,34954,10899,1500,125140,5644,3719,601,0,1.88
62,11682,4448,1296,0,3958,0,3,424,1553,5139,1550,4400,10044,4748,936,3812,699,735,1080,727,431,5498,6184,9498,515,372,1618,672,358,2353,3610,10109,9446,663,100441,5693,5339,354,3849,275,905,110,200,790,4868,6256,2015,100441,1433,753,225,0,2.13
63,1584,1457,0,0,72,0,0,55,0,1311,55,98,10162,741,0,741,94,45,148,135,51,679,905,1098,0,51,0,42,45,462,498,1584,1491,93,188880,862,862,0,726,41,95,0,0,391,1066,191,0,188880,176,262,0,0,2.14
64,59505,1539,15043,0,888,69,285,322,41359,33438,9310,10610,10460,20443,2155,18288,3343,2828,4112,1890,610,27647,31858,37276,6661,7032,10079,6981,2054,3440,1029,59482,53947,5535,26866,27121,23220,3901,3884,9576,4791,1764,3205,1740,18470,36191,14047,26866,4887,6719,2105,227,2.85
65,5593,3745,45,0,1163,0,13,203,424,3972,595,950,10282,2231,192,2039,122,132,192,0,138,2707,2886,3810,72,13,192,206,133,1728,1466,5593,5517,76,250001,2989,2895,94,2175,131,589,0,0,478,3467,1192,293,250001,470,765,137,0,2.51
66,38733,16456,8200,23,2320,0,109,2034,9591,29240,4628,3587,10301,14489,6587,7902,2596,2580,3335,1679,752,18449,20284,25914,1605,1995,6689,4126,1849,5154,4496,37772,35380,2392,55802,17515,16648,867,7092,3762,3444,1140,1210,1174,25861,10426,3812,55802,3726,3820,1100,319,2.52
67,15232,13293,56,19,418,0,0,47,1399,13474,1147,479,10307,5314,4038,1276,871,867,996,548,189,7448,7784,10168,183,528,2885,1676,1088,2359,1449,15211,14547,664,80893,6947,6584,363,3033,770,1582,668,531,748,12250,2341,612,80893,1153,2072,679,31,2.86
68,44205,18898,3915,43,1254,7,287,233,19568,34083,4435,2361,10465,15994,9004,6990,3145,3126,3788,2401,1491,21403,22802,31019,2591,2098,9415,5780,2976,4609,3550,43784,41104,2680,74796,21716,20282,1434,7222,4395,5063,1666,1936,1352,24657,16637,4830,74796,4752,4764,1221,85,2.65
69,15432,5590,5714,0,537,0,54,282,3255,9385,3445,1906,10470,6076,2222,3854,963,981,1290,933,392,7069,8363,11381,1006,1058,3128,1838,794,2302,1255,15390,14119,1271,57160,8005,7454,551,3107,1590,1384,713,660,731,10389,4048,1287,57160,1549,1398,495,53,2.52
70,21896,12819,2276,0,1262,0,236,300,5003,15872,3442,1938,10471,8598,4193,4405,1366,1645,2407,1820,1327,10378,11518,15931,693,698,2617,2400,808,3686,5029,20597,19681,916,85707,10796,10020,776,5783,1361,2064,431,381,972,13404,7314,2258,85707,2521,1910,246,43,2.18
